  score1=32, score2=19, dur=438.2, team1=cschnorr, team2=bertucci, winner=cschnorr, mtype=rescue_r2, mhash_short=[GRIM-RAUL], mhash_lshort=I-GRIM-RAUL, mhash=mhash=250511-2107I-GRIM-RAUL,utc=1747012066.41
  score1=47, score2=0, dur=747.6, team1=bertucci, team2=bertucci, winner=bertucci, mtype=rescue_r2, mhash_short=[DEEP-BOOK], mhash_lshort=T-DEEP-BOOK, mhash=mhash=250511-2118T-DEEP-BOOK,utc=1747012709.54
  score1=28, score2=23, dur=542.3, team1=chthigpen, team2=cdembski, winner=chthigpen, mtype=rescue_r2, mhash_short=[TIDY-ROCK], mhash_lshort=N-TIDY-ROCK, mhash=mhash=250511-2119N-TIDY-ROCK,utc=1747012754.55
  score1=23, score2=0, dur=950.3, team1=cschnorr, team2=jcizu690, winner=cschnorr, mtype=rescue_r2, mhash_short=[VAST-LYLE], mhash_lshort=Z-VAST-LYLE, mhash=mhash=250511-2119Z-VAST-LYLE,utc=1747012791.34
  score1=26, score2=26, dur=590.9, team1=bertucci, team2=chthigpen, winner=bertucci, mtype=rescue_r2, mhash_short=[DANK-PATH], mhash_lshort=H-DANK-PATH, mhash=mhash=250511-2120H-DANK-PATH,utc=1747012844.48
  score1=40, score2=3, dur=950.4, team1=thoma904, team2=cdembski, winner=thoma904, mtype=rescue_r2, mhash_short=[GLUM-HOYT], mhash_lshort=H-GLUM-HOYT, mhash=mhash=250511-2121H-GLUM-HOYT,utc=1747012883.20
  score1=35, score2=7, dur=606.4, team1=jwenger, team2=cdembski, winner=jwenger, mtype=rescue_r2, mhash_short=[VERY-RICK], mhash_lshort=A-VERY-RICK, mhash=mhash=250511-2122A-VERY-RICK,utc=1747012936.33
  score1=23, score2=5, dur=950.3, team1=thoma904, team2=cschnorr, winner=thoma904, mtype=rescue_r2, mhash_short=[VILE-ROLE], mhash_lshort=A-VILE-ROLE, mhash=mhash=250511-2122A-VILE-ROLE,utc=1747012975.74
  score1=28, score2=25, dur=568.7, team1=cschnorr, team2=cdembski, winner=cschnorr, mtype=rescue_r2, mhash_short=[FIVE-GAME], mhash_lshort=B-FIVE-GAME, mhash=mhash=250511-2123B-FIVE-GAME,utc=1747013028.83
  score1=43, score2=2, dur=950.1, team1=bruno752, team2=jwenger, winner=bruno752, mtype=rescue_r2, mhash_short=[FIVE-LOOP], mhash_lshort=I-FIVE-LOOP, mhash=mhash=250511-2124I-FIVE-LOOP,utc=1747013066.70
  score1=19, score2=7, dur=950.3, team1=thoma904, team2=chthigpen, winner=thoma904, mtype=rescue_r2, mhash_short=[WARM-WHIM], mhash_lshort=B-WARM-WHIM, mhash=mhash=250511-2125B-WARM-WHIM,utc=1747013119.83
  score1=35, score2=25, dur=670.1, team1=cschnorr, team2=ews2011, winner=cschnorr, mtype=rescue_r2, mhash_short=[DULL-FILM], mhash_lshort=P-DULL-FILM, mhash=mhash=250511-2141P-DULL-FILM,utc=1747014094.23
  score1=4, score2=0, dur=965.5, team1=chthigpen, team2=chthigpen, winner=chthigpen, mtype=rescue_r2, mhash_short=[TINY-EPIC], mhash_lshort=R-TINY-EPIC, mhash=mhash=250511-2142R-TINY-EPIC,utc=1747014136.13
  score1=28, score2=21, dur=431.5, team1=bertucci, team2=ews2011, winner=bertucci, mtype=rescue_r2, mhash_short=[FIVE-ZITS], mhash_lshort=P-FIVE-ZITS, mhash=mhash=250511-2143P-FIVE-ZITS,utc=1747014189.86
  score1=3, score2=0, dur=950.3, team1=thoma904, team2=chthigpen, winner=thoma904, mtype=rescue_r2, mhash_short=[LAST-WIFE], mhash_lshort=X-LAST-WIFE, mhash=mhash=250511-2143X-LAST-WIFE,utc=1747014222.24
  score1=41, score2=4, dur=1269.7, team1=bruno752, team2=cdembski, winner=bruno752, mtype=rescue_r2, mhash_short=[REAL-HYMM], mhash_lshort=V-REAL-HYMM, mhash=mhash=250511-2144V-REAL-HYMM,utc=1747014275.31
  score1=33, score2=22, dur=649.3, team1=jwenger, team2=ekwang, winner=jwenger, mtype=rescue_r2, mhash_short=[LIKE-GABE], mhash_lshort=J-LIKE-GABE, mhash=mhash=250511-2145J-LIKE-GABE,utc=1747014341.17
  score1=35, score2=20, dur=608.4, team1=cschnorr, team2=ews2011, winner=cschnorr, mtype=rescue_r2, mhash_short=[BASS-ELMS], mhash_lshort=B-BASS-ELMS, mhash=mhash=250511-2146B-BASS-ELMS,utc=1747014386.26
  score1=35, score2=19, dur=950.3, team1=bruno752, team2=cschnorr, winner=bruno752, mtype=rescue_r2, mhash_short=[FAIR-VLAD], mhash_lshort=J-FAIR-VLAD, mhash=mhash=250511-2147J-FAIR-VLAD,utc=1747014425.65
  score1=50, score2=1, dur=950.4, team1=bruno752, team2=ekwang, winner=bruno752, mtype=rescue_r2, mhash_short=[COOL-AMOS], mhash_lshort=S-COOL-AMOS, mhash=mhash=250511-2147S-COOL-AMOS,utc=1747014478.75
  score1=31, score2=10, dur=950.3, team1=thoma904, team2=ekwang, winner=thoma904, mtype=rescue_r2, mhash_short=[GLIB-MOOD], mhash_lshort=T-GLIB-MOOD, mhash=mhash=250511-2148T-GLIB-MOOD,utc=1747014531.90
  score1=31, score2=17, dur=950.2, team1=jwenger, team2=chthigpen, winner=jwenger, mtype=rescue_r2, mhash_short=[MEGA-CASH], mhash_lshort=U-MEGA-CASH, mhash=mhash=250511-2149U-MEGA-CASH,utc=1747014584.98
  score1=35, score2=6, dur=950.1, team1=thoma904, team2=ews2011, winner=thoma904, mtype=rescue_r2, mhash_short=[HOLY-PUMP], mhash_lshort=J-HOLY-PUMP, mhash=mhash=250511-2150J-HOLY-PUMP,utc=1747014638.06
  score1=25, score2=15, dur=426.4, team1=cdembski, team2=ekwang, winner=cdembski, mtype=rescue_r2, mhash_short=[NICE-BABY], mhash_lshort=K-NICE-BABY, mhash=mhash=250511-2151K-NICE-BABY,utc=1747014691.19
  score1=44, score2=0, dur=950.1, team1=bruno752, team2=bruno752, winner=bruno752, mtype=rescue_r2, mhash_short=[DAMP-REED], mhash_lshort=F-DAMP-REED, mhash=mhash=250511-2152F-DAMP-REED,utc=1747014723.38
  score1=29, score2=12, dur=560.4, team1=cdembski, team2=ekwang, winner=cdembski, mtype=rescue_r2, mhash_short=[FIVE-STAR], mhash_lshort=N-FIVE-STAR, mhash=mhash=250511-2152N-FIVE-STAR,utc=1747014776.52
  score1=30, score2=27, dur=622.7, team1=chthigpen, team2=ews2011, winner=chthigpen, mtype=rescue_r2, mhash_short=[HARD-BASE], mhash_lshort=G-HARD-BASE, mhash=mhash=250511-2153G-HARD-BASE,utc=1747014814.07
  score1=31, score2=21, dur=950.1, team1=jwenger, team2=cschnorr, winner=jwenger, mtype=rescue_r2, mhash_short=[HARD-LION], mhash_lshort=N-HARD-LION, mhash=mhash=250511-2154N-HARD-LION,utc=1747014854.07
  score1=33, score2=0, dur=950.1, team1=chthigpen, team2=jcizu690, winner=chthigpen, mtype=rescue_r2, mhash_short=[EVIL-ROSS], mhash_lshort=P-EVIL-ROSS, mhash=mhash=250511-2155P-EVIL-ROSS,utc=1747014907.18
  score1=28, score2=28, dur=636.4, team1=ekwang, team2=ews2011, winner=ekwang, mtype=rescue_r2, mhash_short=[LATE-RIBS], mhash_lshort=X-LATE-RIBS, mhash=mhash=250511-2156X-LATE-RIBS,utc=1747014960.32
  score1=28, score2=25, dur=843.2, team1=ews2011, team2=cdembski, winner=ews2011, mtype=rescue_r2, mhash_short=[LATE-BUCK], mhash_lshort=E-LATE-BUCK, mhash=mhash=250511-2156E-LATE-BUCK,utc=1747015000.89
  score1=24, score2=20, dur=443.1, team1=chthigpen, team2=cdembski, winner=chthigpen, mtype=rescue_r2, mhash_short=[HALF-KEEP], mhash_lshort=Z-HALF-KEEP, mhash=mhash=250511-2223Z-HALF-KEEP,utc=1747016590.37
  score1=28, score2=26, dur=542, team1=cschnorr, team2=bertucci, winner=cschnorr, mtype=rescue_r2, mhash_short=[OKAY-ZACH], mhash_lshort=E-OKAY-ZACH, mhash=mhash=250511-2223E-OKAY-ZACH,utc=1747016625.55
  score1=34, score2=7, dur=950.1, team1=thoma904, team2=cschnorr, winner=thoma904, mtype=rescue_r2, mhash_short=[OKAY-IDEA], mhash_lshort=L-OKAY-IDEA, mhash=mhash=250511-2224L-OKAY-IDEA,utc=1747016665.23
  score1=45, score2=0, dur=950.2, team1=cdembski, team2=cdembski, winner=cdembski, mtype=rescue_r2, mhash_short=[BACK-JESS], mhash_lshort=S-BACK-JESS, mhash=mhash=250511-2225S-BACK-JESS,utc=1747016723.39
  score1=34, score2=3, dur=950.1, team1=bruno752, team2=chthigpen, winner=bruno752, mtype=rescue_r2, mhash_short=[DAFT-ALVA], mhash_lshort=Y-DAFT-ALVA, mhash=mhash=250511-2226Y-DAFT-ALVA,utc=1747016781.56
  score1=41, score2=6, dur=950.1, team1=thoma904, team2=cschnorr, winner=thoma904, mtype=rescue_r2, mhash_short=[MILD-DINO], mhash_lshort=A-MILD-DINO, mhash=mhash=250511-2227A-MILD-DINO,utc=1747016839.72
  score1=49, score2=1, dur=950.2, team1=bruno752, team2=ews2011, winner=bruno752, mtype=rescue_r2, mhash_short=[PINK-PREY], mhash_lshort=N-PINK-PREY, mhash=mhash=250511-2228N-PINK-PREY,utc=1747016897.87
  score1=28, score2=18, dur=467.3, team1=jwenger, team2=ekwang, winner=jwenger, mtype=rescue_r2, mhash_short=[DANK-DESI], mhash_lshort=I-DANK-DESI, mhash=mhash=250511-2229I-DANK-DESI,utc=1747016956.05
  score1=53, score2=0, dur=950.2, team1=chthigpen, team2=chthigpen, winner=chthigpen, mtype=rescue_r2, mhash_short=[AVID-NYLE], mhash_lshort=M-AVID-NYLE, mhash=mhash=250511-2229M-AVID-NYLE,utc=1747016992.29
  score1=42, score2=11, dur=702.3, team1=cschnorr, team2=ekwang, winner=cschnorr, mtype=rescue_r2, mhash_short=[FOXY-SHIN], mhash_lshort=Q-FOXY-SHIN, mhash=mhash=250511-2230Q-FOXY-SHIN,utc=1747017050.57
  score1=30, score2=28, dur=699.9, team1=bertucci, team2=cschnorr, winner=bertucci, mtype=rescue_r2, mhash_short=[WAVY-ELMO], mhash_lshort=Z-WAVY-ELMO, mhash=mhash=250511-2231Z-WAVY-ELMO,utc=1747017097.63
  score1=34, score2=20, dur=950.1, team1=chthigpen, team2=cschnorr, winner=chthigpen, mtype=rescue_r2, mhash_short=[CAGY-DINO], mhash_lshort=Q-CAGY-DINO, mhash=mhash=250511-2232Q-CAGY-DINO,utc=1747017144.58
  score1=46, score2=8, dur=950.1, team1=thoma904, team2=bertucci, winner=thoma904, mtype=rescue_r2, mhash_short=[MEAN-PREY], mhash_lshort=D-MEAN-PREY, mhash=mhash=250511-2233D-MEAN-PREY,utc=1747017202.87
  score1=34, score2=18, dur=950.3, team1=bruno752, team2=bertucci, winner=bruno752, mtype=rescue_r2, mhash_short=[WILD-DESI], mhash_lshort=Y-WILD-DESI, mhash=mhash=250511-2234Y-WILD-DESI,utc=1747017261.16
  score1=17, score2=16, dur=13335.4, team1=thoma904, team2=jwenger, winner=thoma904, mtype=rescue_r2, mhash_short=[PUNY-CLAW], mhash_lshort=T-PUNY-CLAW, mhash=mhash=250511-2235T-PUNY-CLAW,utc=1747017320.65
  score1=35, score2=18, dur=831.5, team1=chthigpen, team2=ekwang, winner=chthigpen, mtype=rescue_r2, mhash_short=[EASY-HUGH], mhash_lshort=I-EASY-HUGH, mhash=mhash=250511-2245I-EASY-HUGH,utc=1747017941.84
  score1=47, score2=0, dur=950.1, team1=ews2011, team2=ews2011, winner=ews2011, mtype=rescue_r2, mhash_short=[UGLY-BEER], mhash_lshort=F-UGLY-BEER, mhash=mhash=250511-2246F-UGLY-BEER,utc=1747017994.62
  score1=48, score2=2, dur=950.2, team1=bruno752, team2=jwenger, winner=bruno752, mtype=rescue_r2, mhash_short=[RARE-NOEL], mhash_lshort=B-RARE-NOEL, mhash=mhash=250511-2247B-RARE-NOEL,utc=1747018052.81
  score1=34, score2=13, dur=659.9, team1=jwenger, team2=cdembski, winner=jwenger, mtype=rescue_r2, mhash_short=[LAST-ZEKE], mhash_lshort=V-LAST-ZEKE, mhash=mhash=250511-2248V-LAST-ZEKE,utc=1747018111.04
  score1=13, score2=0, dur=950.4, team1=ews2011, team2=ews2011, winner=ews2011, mtype=rescue_r2, mhash_short=[DARN-SOLO], mhash_lshort=Y-DARN-SOLO, mhash=mhash=250511-2249Y-DARN-SOLO,utc=1747018156.14
  score1=37, score2=4, dur=19718.5, team1=bruno752, team2=ekwang, winner=bruno752, mtype=rescue_r2, mhash_short=[DANK-TECH], mhash_lshort=J-DANK-TECH, mhash=mhash=250511-2250J-DANK-TECH,utc=1747018214.42
  score1=48, score2=4, dur=950.1, team1=bruno752, team2=ews2011, winner=bruno752, mtype=rescue_r2, mhash_short=[COZY-ZAIN], mhash_lshort=U-COZY-ZAIN, mhash=mhash=250511-2305U-COZY-ZAIN,utc=1747019125.81
  score1=29, score2=25, dur=632, team1=bertucci, team2=chthigpen, winner=bertucci, mtype=rescue_r2, mhash_short=[OKAY-HOLT], mhash_lshort=E-OKAY-HOLT, mhash=mhash=250511-2306E-OKAY-HOLT,utc=1747019184.12
  score1=31, score2=21, dur=950.3, team1=jwenger, team2=chthigpen, winner=jwenger, mtype=rescue_r2, mhash_short=[DEAD-IZZY], mhash_lshort=S-DEAD-IZZY, mhash=mhash=250511-2307S-DEAD-IZZY,utc=1747019227.99
  score1=52, score2=0, dur=853.5, team1=cschnorr, team2=jcizu690, winner=cschnorr, mtype=rescue_r2, mhash_short=[FAST-GULL], mhash_lshort=M-FAST-GULL, mhash=mhash=250511-2308M-FAST-GULL,utc=1747019286.32
  score1=32, score2=22, dur=950.1, team1=cdembski, team2=ews2011, winner=cdembski, mtype=rescue_r2, mhash_short=[LIKE-CRUZ], mhash_lshort=V-LIKE-CRUZ, mhash=mhash=250511-2309V-LIKE-CRUZ,utc=1747019340.23
  score1=49, score2=4, dur=950.4, team1=bruno752, team2=chthigpen, winner=bruno752, mtype=rescue_r2, mhash_short=[LUSH-HAND], mhash_lshort=L-LUSH-HAND, mhash=mhash=250511-2309L-LUSH-HAND,utc=1747019398.53
  score1=40, score2=0, dur=656.2, team1=cdembski, team2=jcizu690, winner=cdembski, mtype=rescue_r2, mhash_short=[BALD-ZEST], mhash_lshort=T-BALD-ZEST, mhash=mhash=250511-2310T-BALD-ZEST,utc=1747019456.85
  score1=33, score2=22, dur=485.1, team1=cschnorr, team2=chthigpen, winner=cschnorr, mtype=rescue_r2, mhash_short=[GREY-YORK], mhash_lshort=V-GREY-YORK, mhash=mhash=250511-2311V-GREY-YORK,utc=1747019501.85
  score1=39, score2=9, dur=950.1, team1=jwenger, team2=bertucci, winner=jwenger, mtype=rescue_r2, mhash_short=[HEAD-EDEN], mhash_lshort=N-HEAD-EDEN, mhash=mhash=250511-2312N-HEAD-EDEN,utc=1747019539.07
  score1=33, score2=15, dur=950.1, team1=jwenger, team2=cschnorr, winner=jwenger, mtype=rescue_r2, mhash_short=[SORE-COST], mhash_lshort=I-SORE-COST, mhash=mhash=250511-2313I-SORE-COST,utc=1747019597.42
  score1=25, score2=23, dur=492.4, team1=cdembski, team2=ews2011, winner=cdembski, mtype=rescue_r2, mhash_short=[VAST-USER], mhash_lshort=D-VAST-USER, mhash=mhash=250511-2314D-VAST-USER,utc=1747019655.74
  score1=41, score2=2, dur=950.2, team1=bruno752, team2=ews2011, winner=bruno752, mtype=rescue_r2, mhash_short=[MALT-RITZ], mhash_lshort=Y-MALT-RITZ, mhash=mhash=250511-2330Y-MALT-RITZ,utc=1747020654.83
  score1=39, score2=1, dur=20956.3, team1=ekwang, team2=ews2011, winner=ekwang, mtype=rescue_r2, mhash_short=[NEAR-DOOR], mhash_lshort=X-NEAR-DOOR, mhash=mhash=250511-2338X-NEAR-DOOR,utc=1747021105.81
  score1=51, score2=0, dur=950.4, team1=bruno752, team2=bruno752, winner=bruno752, mtype=rescue_r2, mhash_short=[NEDS-ACHE], mhash_lshort=D-NEDS-ACHE, mhash=mhash=250511-2354D-NEDS-ACHE,utc=1747022073.47
  score1=53, score2=0, dur=844.5, team1=cschnorr, team2=cschnorr, winner=cschnorr, mtype=rescue_r2, mhash_short=[GAMY-COLT], mhash_lshort=I-GAMY-COLT, mhash=mhash=250511-2355I-GAMY-COLT,utc=1747022131.83
  score1=29, score2=23, dur=542.2, team1=jwenger, team2=bertucci, winner=jwenger, mtype=rescue_r2, mhash_short=[SOUR-BUTT], mhash_lshort=I-SOUR-BUTT, mhash=mhash=250511-2356I-SOUR-BUTT,utc=1747022185.35
  score1=49, score2=3, dur=950.1, team1=bruno752, team2=ekwang, winner=bruno752, mtype=rescue_r2, mhash_short=[GOOD-CAGE], mhash_lshort=K-GOOD-CAGE, mhash=mhash=250511-2357K-GOOD-CAGE,utc=1747022225.16
  score1=41, score2=0, dur=717.5, team1=cdembski, team2=jcizu690, winner=cdembski, mtype=rescue_r2, mhash_short=[GRIM-EMIL], mhash_lshort=Q-GRIM-EMIL, mhash=mhash=250511-2358Q-GRIM-EMIL,utc=1747022283.51
  score1=37, score2=10, dur=950.2, team1=thoma904, team2=bertucci, winner=thoma904, mtype=rescue_r2, mhash_short=[DUMB-LOVE], mhash_lshort=Y-DUMB-LOVE, mhash=mhash=250511-2358Y-DUMB-LOVE,utc=1747022331.33
  score1=37, score2=14, dur=608.1, team1=bertucci, team2=ekwang, winner=bertucci, mtype=rescue_r2, mhash_short=[VERY-WHIT], mhash_lshort=R-VERY-WHIT, mhash=mhash=250511-2359R-VERY-WHIT,utc=1747022389.62
  score1=53, score2=2, dur=949.2, team1=bruno752, team2=chthigpen, winner=bruno752, mtype=rescue_r2, mhash_short=[RICH-ENZO], mhash_lshort=V-RICH-ENZO, mhash=mhash=250512-0000V-RICH-ENZO,utc=1747022432.43
  score1=40, score2=5, dur=950.2, team1=bertucci, team2=ekwang, winner=bertucci, mtype=rescue_r2, mhash_short=[SOLE-KIAN], mhash_lshort=X-SOLE-KIAN, mhash=mhash=250512-0001X-SOLE-KIAN,utc=1747022490.69
  score1=11, score2=9, dur=950.1, team1=jwenger, team2=thoma904, winner=jwenger, mtype=rescue_r2, mhash_short=[SORE-BURT], mhash_lshort=J-SORE-BURT, mhash=mhash=250512-0002J-SORE-BURT,utc=1747022549.06
  score1=51, score2=1, dur=950.2, team1=bruno752, team2=chthigpen, winner=bruno752, mtype=rescue_r2, mhash_short=[SOUR-WALL], mhash_lshort=W-SOUR-WALL, mhash=mhash=250512-0003W-SOUR-WALL,utc=1747022607.40
  score1=34, score2=23, dur=616.4, team1=cschnorr, team2=ews2011, winner=cschnorr, mtype=rescue_r2, mhash_short=[ONLY-WINE], mhash_lshort=F-ONLY-WINE, mhash=mhash=250512-0004F-ONLY-WINE,utc=1747022665.70
  score1=30, score2=21, dur=950.1, team1=cschnorr, team2=cdembski, winner=cschnorr, mtype=rescue_r2, mhash_short=[MASS-MIKE], mhash_lshort=B-MASS-MIKE, mhash=mhash=250512-0005B-MASS-MIKE,utc=1747022708.84
  score1=26, score2=18, dur=398.2, team1=ekwang, team2=chthigpen, winner=ekwang, mtype=rescue_r2, mhash_short=[SOLE-IVAN], mhash_lshort=R-SOLE-IVAN, mhash=mhash=250512-0006R-SOLE-IVAN,utc=1747022767.15
  score1=45, score2=4, dur=950.2, team1=thoma904, team2=cschnorr, winner=thoma904, mtype=rescue_r2, mhash_short=[DEAD-VENT], mhash_lshort=B-DEAD-VENT, mhash=mhash=250512-0006B-DEAD-VENT,utc=1747022800.35
  score1=35, score2=20, dur=950.2, team1=cschnorr, team2=ews2011, winner=cschnorr, mtype=rescue_r2, mhash_short=[KIND-KENT], mhash_lshort=T-KIND-KENT, mhash=mhash=250512-0007T-KIND-KENT,utc=1747022858.67
  score1=31, score2=22, dur=634.4, team1=cschnorr, team2=cdembski, winner=cschnorr, mtype=rescue_r2, mhash_short=[SOUR-DASH], mhash_lshort=C-SOUR-DASH, mhash=mhash=250512-0008C-SOUR-DASH,utc=1747022916.98
  score1=39, score2=9, dur=950.1, team1=bruno752, team2=bertucci, winner=bruno752, mtype=rescue_r2, mhash_short=[KEEN-WEEK], mhash_lshort=S-KEEN-WEEK, mhash=mhash=250512-0009S-KEEN-WEEK,utc=1747022960.98
  score1=49, score2=8, dur=950.3, team1=bruno752, team2=cschnorr, winner=bruno752, mtype=rescue_r2, mhash_short=[OOZY-DESI], mhash_lshort=F-OOZY-DESI, mhash=mhash=250512-0010F-OOZY-DESI,utc=1747023019.33
  score1=53, score2=2, dur=832.4, team1=bruno752, team2=jwenger, winner=bruno752, mtype=rescue_r2, mhash_short=[LIKE-TOSH], mhash_lshort=P-LIKE-TOSH, mhash=mhash=250512-0011P-LIKE-TOSH,utc=1747023077.70
  score1=35, score2=22, dur=950.1, team1=chthigpen, team2=ews2011, winner=chthigpen, mtype=rescue_r2, mhash_short=[FREE-LACK], mhash_lshort=E-FREE-LACK, mhash=mhash=250512-0012E-FREE-LACK,utc=1747023130.69
  score1=28, score2=27, dur=537.8, team1=cschnorr, team2=bertucci, winner=cschnorr, mtype=rescue_r2, mhash_short=[RICH-TONE], mhash_lshort=G-RICH-TONE, mhash=mhash=250512-0013G-RICH-TONE,utc=1747023189.00
  score1=44, score2=0, dur=668.6, team1=cdembski, team2=cdembski, winner=cdembski, mtype=rescue_r2, mhash_short=[REAL-MIND], mhash_lshort=V-REAL-MIND, mhash=mhash=250512-0013V-REAL-MIND,utc=1747023228.55
  score1=35, score2=3, dur=950.2, team1=bruno752, team2=ekwang, winner=bruno752, mtype=rescue_r2, mhash_short=[NEAR-TREY], mhash_lshort=W-NEAR-TREY, mhash=mhash=250512-0014W-NEAR-TREY,utc=1747023274.05
  score1=42, score2=0, dur=950.4, team1=thoma904, team2=jcizu690, winner=thoma904, mtype=rescue_r2, mhash_short=[ZERO-MITT], mhash_lshort=F-ZERO-MITT, mhash=mhash=250512-0015F-ZERO-MITT,utc=1747023332.38
  score1=31, score2=27, dur=564.1, team1=chthigpen, team2=bertucci, winner=chthigpen, mtype=rescue_r2, mhash_short=[DEAF-FEAR], mhash_lshort=M-DEAF-FEAR, mhash=mhash=250512-0016M-DEAF-FEAR,utc=1747023390.73
  score1=33, score2=7, dur=950.2, team1=jwenger, team2=chthigpen, winner=jwenger, mtype=rescue_r2, mhash_short=[CUTE-FIGS], mhash_lshort=Q-CUTE-FIGS, mhash=mhash=250512-0017Q-CUTE-FIGS,utc=1747023431.48
  score1=27, score2=25, dur=620.3, team1=cschnorr, team2=ekwang, winner=cschnorr, mtype=rescue_r2, mhash_short=[EASY-MUSA], mhash_lshort=K-EASY-MUSA, mhash=mhash=250512-0018K-EASY-MUSA,utc=1747023489.81
  score1=38, score2=11, dur=950.1, team1=thoma904, team2=bruno752, winner=thoma904, mtype=rescue_r2, mhash_short=[VAIN-HUGH], mhash_lshort=F-VAIN-HUGH, mhash=mhash=250512-0018F-VAIN-HUGH,utc=1747023533.16
  score1=52, score2=0, dur=857.7, team1=cschnorr, team2=jcizu690, winner=cschnorr, mtype=rescue_r2, mhash_short=[ZANY-BUNK], mhash_lshort=A-ZANY-BUNK, mhash=mhash=250512-0019A-ZANY-BUNK,utc=1747023591.49
  score1=39, score2=3, dur=950.4, team1=jwenger, team2=ews2011, winner=jwenger, mtype=rescue_r2, mhash_short=[NINE-IVER], mhash_lshort=E-NINE-IVER, mhash=mhash=250512-0020E-NINE-IVER,utc=1747023645.62
  score1=28, score2=25, dur=452.3, team1=cschnorr, team2=bertucci, winner=cschnorr, mtype=rescue_r2, mhash_short=[TEDS-HILL], mhash_lshort=K-TEDS-HILL, mhash=mhash=250512-0021K-TEDS-HILL,utc=1747023703.95
  score1=27, score2=26, dur=472.5, team1=bertucci, team2=jwenger, winner=bertucci, mtype=rescue_r2, mhash_short=[PLUS-MILO], mhash_lshort=D-PLUS-MILO, mhash=mhash=250512-0022D-PLUS-MILO,utc=1747023739.64
  score1=47, score2=2, dur=950.2, team1=bruno752, team2=ews2011, winner=bruno752, mtype=rescue_r2, mhash_short=[MALT-MEMO], mhash_lshort=D-MALT-MEMO, mhash=mhash=250512-0022D-MALT-MEMO,utc=1747023776.26
  score1=44, score2=8, dur=950.1, team1=thoma904, team2=ews2011, winner=thoma904, mtype=rescue_r2, mhash_short=[HALF-EVAN], mhash_lshort=Y-HALF-EVAN, mhash=mhash=250512-0023Y-HALF-EVAN,utc=1747023834.56
